Id,cnt
1,4
2,191
3,176
4,38
5,111
6,118
7,79
8,154
9,118
10,369
11,4
12,219
13,33
14,256
15,44
16,181
17,9
18,67
19,36
20,152
21,95
22,66
23,271
24,129
25,173
26,6
27,178
28,247
29,225
30,339
31,16
32,44
33,505
34,445
35,4
36,210
37,100
38,243
39,233
40,158
41,16
42,30
43,480
44,7
45,2
46,138
47,151
48,31
49,247
50,169
51,118
52,276
53,5
54,170
55,222
56,128
57,340
58,238
59,294
60,652
61,127
62,237
63,27
64,158
65,158
66,345
67,194
68,182
69,10
70,14
71,21
72,12
73,391
74,19
75,406
76,100
77,482
78,340
79,290
80,34
81,113
82,145
83,544
84,122
85,301
86,7
87,500
88,90
89,204
90,305
91,5
92,9
93,148
94,156
95,262
96,363
97,9
98,110
99,466
100,73
101,280
102,10
103,471
104,455
105,76
106,4
107,362
108,546
109,16
110,359
111,171
112,30
113,69
114,7
115,446
116,28
117,291
118,8
119,76
120,433
121,154
122,137
123,208
124,442
125,5
126,377
127,163
128,506
129,236
130,118
131,282
132,79
133,245
134,53
135,194
136,56
137,165
138,6
139,2
140,251
141,98
142,134
143,109
144,347
145,265
146,241
147,7
148,81
149,77
150,98
151,10
152,279
153,365
154,177
155,188
156,80
157,61
158,304
159,780
160,267
161,102
162,294
163,83
164,159
165,121
166,165
167,25
168,90
169,414
170,4
171,287
172,195
173,215
174,176
175,298
176,227
177,182
178,213
179,9
180,190
181,196
182,6
183,32
184,453
185,258
186,246
187,216
188,208
189,115
190,355
191,9
192,72
193,81
194,22
195,39
196,53
197,395
198,44
199,106
200,102
201,418
202,215
203,6
204,227
205,122
206,234
207,3
208,123
209,509
210,268
211,348
212,4
213,121
214,128
215,129
216,119
217,83
218,56
219,22
220,89
221,210
222,43
223,335
224,238
225,195
226,7
227,17
228,343
229,36
230,7
231,221
232,34
233,138
234,8
235,110
236,133
237,46
238,5
239,304
240,361
241,2
242,271
243,226
244,301
245,12
246,365
247,375
248,35
249,38
250,392
251,356
252,353
253,21
254,8
255,65
256,117
257,147
258,306
259,281
260,80
261,232
262,4
263,608
264,245
265,298
266,76
267,225
268,112
269,84
270,379
271,13
272,111
273,144
274,87
275,15
276,37
277,143
278,5
279,132
280,146
281,8
282,62
283,320
284,521
285,454
286,141
287,393
288,28
289,126
290,307
291,42
292,144
293,455
294,117
295,40
296,220
297,98
298,38
299,10
300,538
301,433
302,9
303,249
304,300
305,305
306,357
307,308
308,5
309,614
310,12
311,132
312,98
313,305
314,180
315,6
316,420
317,568
318,156
319,3
320,257
321,318
322,61
323,10
324,36
325,225
326,197
327,412
328,147
329,13
330,224
331,29
332,50
333,2
334,160
335,65
336,4
337,558
338,621
339,181
340,82
341,228
342,177
343,133
344,62
345,215
346,9
347,127
348,75
349,532
350,687
351,324
352,61
353,4
354,492
355,330
356,399
357,283
358,129
359,612
360,40
361,25
362,13
363,425
364,525
365,619
366,525
367,84
368,120
369,105
370,475
371,49
372,69
373,19
374,454
375,247
376,152
377,137
378,51
379,14
380,391
381,239
382,616
383,294
384,124
385,145
386,134
387,81
388,186
389,12
390,532
391,93
392,49
393,307
394,159
395,245
396,100
397,10
398,39
399,5
400,3
401,129
402,16
403,244
404,113
405,424
406,167
407,102
408,383
409,130
410,19
411,4
412,202
413,73
414,29
415,285
416,60
417,354
418,9
419,186
420,23
421,416
422,64
423,184
424,134
425,62
426,259
427,158
428,20
429,4
430,447
431,445
432,292
433,5
434,124
435,18
436,69
437,280
438,448
439,125
440,196
441,193
442,82
443,180
444,550
445,165
446,40
447,350
448,384
449,188
450,44
451,603
452,5
453,7
454,26
455,30
456,87
457,33
458,226
459,234
460,24
461,53
462,163
463,72
464,125
465,86
466,88
467,92
468,62
469,4
470,17
471,52
472,178
473,149
474,410
475,22
476,149
477,224
478,141
479,115
480,108
481,173
482,181
483,144
484,51
485,82
486,22
487,36
488,48
489,32
490,29
491,69
492,289
493,186
494,289
495,182
496,359
497,42
498,175
499,179
500,34
501,65
502,67
503,154
504,85
505,498
506,7
507,29
508,219
509,6
510,183
511,690
512,347
513,503
514,401
515,98
516,24
517,88
518,3
519,467
520,377
521,8
522,42
523,110
524,215
525,377
526,201
527,6
528,538
529,125
530,83
531,389
532,235
533,402
534,77
535,293
536,139
537,77
538,508
539,645
540,117
541,44
542,53
543,284
544,225
545,27
546,523
547,211
548,23
549,616
550,158
551,10
552,714
553,193
554,116
555,104
556,197
557,20
558,213
559,57
560,697
561,43
562,4
563,389
564,249
565,548
566,36
567,167
568,55
569,134
570,230
571,160
572,26
573,211
574,201
575,279
576,5
577,198
578,312
579,361
580,82
581,57
582,271
583,203
584,129
585,282
586,21
587,204
588,60
589,204
590,42
591,222
592,417
593,78
594,32
595,571
596,292
597,424
598,413
599,96
600,150
601,14
602,128
603,23
604,34
605,139
606,10
607,222
608,5
609,7
610,6
611,335
612,220
613,239
614,381
615,272
616,117
617,180
618,206
619,234
620,247
621,462
622,4
623,530
624,142
625,634
626,321
627,133
628,78
629,271
630,96
631,10
632,227
633,161
634,128
635,123
636,25
637,712
638,29
639,184
640,262
641,136
642,243
643,7
644,78
645,154
646,27
647,276
648,337
649,89
650,207
651,163
652,551
653,128
654,13
655,384
656,100
657,32
658,87
659,267
660,202
661,140
662,171
663,8
664,21
665,119
666,90
667,23
668,217
669,423
670,208
671,171
672,7
673,292
674,3
675,191
676,51
677,15
678,160
679,373
680,18
681,61
682,118
683,280
684,51
685,139
686,207
687,132
688,565
689,496
690,8
691,35
692,395
693,56
694,141
695,5
696,567
697,138
698,170
699,162
700,39
701,230
702,110
703,74
704,348
705,170
706,235
707,32
708,196
709,166
710,17
711,102
712,59
713,59
714,271
715,116
716,419
717,24
718,295
719,226
720,10
721,9
722,239
723,500
724,404
725,260
726,136
727,170
728,446
729,152
730,9
731,436
732,9
733,15
734,75
735,227
736,111
737,9
738,401
739,51
740,163
741,313
742,610
743,138
744,88
745,492
746,185
747,4
748,116
749,7
750,21
751,8
752,443
753,377
754,88
755,74
756,407
757,97
758,26
759,564
760,89
761,24
762,30
763,100
764,18
765,25
766,34
767,31
768,128
769,342
770,258
771,711
772,573
773,681
774,107
775,121
776,256
777,319
778,133
779,240
780,218
781,284
782,90
783,14
784,21
785,79
786,76
787,207
788,95
789,343
790,351
791,67
792,693
793,60
794,138
795,205
796,138
797,84
798,75
799,404
800,188
801,498
802,121
803,143
804,107
805,126
806,287
807,457
808,84
809,10
810,10
811,5
812,244
813,159
814,356
815,425
816,367
817,183
818,300
